Time,Spot,Frwd3m
14-Jun-1979,0.740078475244378,0.732079390561733
15-Jun-1979,0.743697699157846,0.735967177742873
18-Jun-1979,0.745929365998915,0.73759459529524
19-Jun-1979,0.748818377930406,0.740841506422607
20-Jun-1979,0.756825957223128,0.748203386308024
21-Jun-1979,0.761506518073289,0.753865915594651
22-Jun-1979,0.762440007055895,0.754665520538362
25-Jun-1979,0.773112962197827,0.765095679872529
26-Jun-1979,0.766165273296517,0.757904427775224
27-Jun-1979,0.768254653046751,0.759402976337011
28-Jun-1979,0.773989568404046,0.765281778319144
29-Jun-1979,0.77541817299274,0.766676413848061
02-Jul-1979,0.783901543828409,0.77633877144671
03-Jul-1979,0.78845736036427,0.781295411086638
04-Jul-1979,0.799082530968614,0.790409998180155
05-Jul-1979,0.803793700647009,0.796380435201597
