Time,SP500,SP500futures
19-Feb-1998,6.93564281067146,6.93804197158701
20-Feb-1998,6.94139309151504,6.94456925210485
23-Feb-1998,6.94518594383912,6.94817719348105
24-Feb-1998,6.93785768004901,6.9409482463379
25-Feb-1998,6.94976059613992,6.95225051886869
26-Feb-1998,6.95527801554251,6.95844839329766
27-Feb-1998,6.95591664168784,6.95702152028506
02-Mar-1998,6.9543525175898,6.95654544315157
03-Mar-1998,6.95846742353483,6.96176986728838
04-Mar-1998,6.95399930544461,6.95463886488099
05-Mar-1998,6.94220506105207,6.94577334616966
06-Mar-1998,6.96194980467518,6.96337918273013
09-Mar-1998,6.95874308276218,6.96034772910131
10-Mar-1998,6.97002560470826,6.97073007814353
11-Mar-1998,6.97398297048033,6.9740110747592
12-Mar-1998,6.97533919943024,6.9740110747592
13-Mar-1998,6.97411400348151,6.97494652852246
16-Mar-1998,6.98404018418246,6.98471632011826
17-Mar-1998,6.98513285465201,6.98702845987664
18-Mar-1998,6.98981443226205,6.99002627141493
19-Mar-1998,6.99369440548329,6.99365770798284
20-Mar-1998,7.00230156163677,7.0046551037221
23-Mar-1998,6.99901184398008,7.01053747362516
24-Mar-1998,7.0081886980101,7.0184017990692
25-Mar-1998,7.00481851582911,7.01548797878502
26-Mar-1998,7.00379251169216,7.01279074181602
27-Mar-1998,6.99891133416434,7.00986050191929
30-Mar-1998,6.99723026346387,7.00827911674844
31-Mar-1998,7.0046551037221,7.01256564333448
01-Apr-1998,7.0104472588634,7.01952024231296
02-Apr-1998,7.0210929017492,7.03085747611612
03-Apr-1998,7.02349173381995,7.03085747611612
06-Apr-1998,7.02231535314003,7.02731451403978
07-Apr-1998,7.01170985086403,7.02019070831193
08-Apr-1998,7.0045643566957,7.01369062939081
09-Apr-1998,7.01271875543033,7.01369062939081
13-Apr-1998,7.01183592285338,7.01862558781356
14-Apr-1998,7.01728210350938,7.02553831463852
15-Apr-1998,7.02047658880256,7.02842303870711
16-Apr-1998,7.0104653248461,7.01705801387259
17-Apr-1998,7.02350956567385,7.01705801387259
20-Apr-1998,7.02433761542097,7.02908756414966
21-Apr-1998,7.0270216974376,7.03482836154561
22-Apr-1998,7.03045070816295,7.0357086432926
23-Apr-1998,7.0207088546586,7.0268707598723
24-Apr-1998,7.01022163218923,7.0268707598723
27-Apr-1998,6.99075365037506,6.99713884011682
28-Apr-1998,6.9894366295007,6.99484998583307
29-Apr-1998,6.99816254548981,7.00010654004632
30-Apr-1998,7.01369062939081,7.02041409712108
01-May-1998,7.02197642307216,7.02041409712108
04-May-1998,7.02293042460301,7.028201432058
05-May-1998,7.01705801387259,7.02108396428914
06-May-1998,7.00752825296282,7.00918307161225
07-May-1998,6.99863750165615,7.00147328285589
08-May-1998,7.01043822665207,7.00147328285589
11-May-1998,7.0090836901211,7.01414026968615
12-May-1998,7.01731798814448,7.02286808608264
13-May-1998,7.02006557537142,7.02464903045364
14-May-1998,7.01873298414975,7.02063743603881
15-May-1998,7.01097047709099,7.0143650140404
18-May-1998,7.00834237136098,7.01053747362516
19-May-1998,7.01168278637389,7.01705801387259
20-May-1998,7.02024437890023,7.02464903045364
21-May-1998,7.0162867752626,7.01952024231296
22-May-1998,7.01253860199633,7.01571242048723
26-May-1998,6.99761428263167,6.99759598298193
27-May-1998,6.99597673852646,6.99987856785794
28-May-1998,7.00088123510573,7.00374704463586
29-May-1998,6.99468493646615,6.99462081200372
01-Jun-1998,6.99483163552722,6.99873792669401
