data source: https://au.investing.com/indices/us-spx-500-futures-historical-data,,,,,,
,,,,,,
Date,Price,Open,High,Low,Vol.,Change %
"Nov 05, 2001","1,103.75","1,089.25","1,108.25","1,088.00",183.84K,1.31
"Nov 06, 2001","1,121.00","1,106.00","1,121.75","1,095.25",179.21K,1.56
"Nov 07, 2001","1,119.50","1,120.50","1,128.00","1,108.75",237.18K,-0.13
"Nov 08, 2001","1,123.50","1,118.50","1,137.50","1,116.00",242.66K,0.36
"Nov 09, 2001","1,123.50","1,122.75","1,126.50","1,111.25",182.12K,0
"Nov 12, 2001","1,116.75","1,122.50","1,127.00","1,096.50",214.79K,-0.6
"Nov 13, 2001","1,141.75","1,116.75","1,142.00","1,115.25",229.31K,2.24
"Nov 14, 2001","1,143.50","1,141.50","1,152.25","1,133.75",226.97K,0.15
"Nov 15, 2001","1,145.25","1,142.25","1,152.00","1,135.25",230.88K,0.15
"Nov 16, 2001","1,140.00","1,145.50","1,151.50","1,130.25",194.30K,-0.46
"Nov 19, 2001","1,154.00","1,140.50","1,154.75","1,140.25",173.06K,1.23
"Nov 20, 2001","1,144.25","1,154.25","1,155.50","1,142.25",170.20K,-0.84
"Nov 21, 2001","1,137.00","1,143.25","1,149.00","1,131.00",136.86K,-0.63
"Nov 23, 2001","1,153.00","1,137.00","1,153.75","1,131.50",57.07K,1.41
"Nov 26, 2001","1,155.25","1,152.50","1,159.00","1,146.25",198.77K,0.2
"Nov 27, 2001","1,150.50","1,155.50","1,164.75","1,140.75",259.83K,-0.41
"Nov 28, 2001","1,129.25","1,150.00","1,151.00","1,128.25",267.88K,-1.85
"Nov 29, 2001","1,144.50","1,129.75","1,144.50","1,125.00",220.85K,1.35
"Nov 30, 2001","1,140.00","1,144.50","1,144.50","1,135.00",169.77K,-0.39
"Dec 03, 2001","1,129.50","1,137.25","1,138.25","1,125.25",193.56K,-0.92
"Dec 04, 2001","1,147.75","1,129.00","1,148.00","1,127.75",209.47K,1.62
"Dec 05, 2001","1,168.75","1,147.50","1,175.25","1,145.50",220.55K,1.83
"Dec 06, 2001","1,168.50","1,168.50","1,174.50","1,164.00",203.75K,-0.02
"Dec 07, 2001","1,160.50","1,168.75","1,170.50","1,152.25",178.24K,-0.68
"Dec 10, 2001","1,139.25","1,160.50","1,162.50","1,138.50",184.92K,-1.83
"Dec 11, 2001","1,136.50","1,139.25","1,151.75","1,133.50",201.76K,-0.24
"Dec 12, 2001","1,138.00","1,136.75","1,143.50","1,125.75",230.98K,0.13
"Dec 13, 2001","1,115.75","1,138.00","1,138.50","1,114.50",25.64K,-1.96
"Dec 14, 2001","1,125.25","1,115.50","1,138.00","1,114.25",9.60K,0.85
"Dec 17, 2001","1,136.75","1,124.25","1,138.00","1,119.25",5.19K,1.02
"Dec 18, 2001","1,144.25","1,138.75","1,145.75","1,134.50",5.62K,0.66
"Dec 19, 2001","1,151.75","1,142.75","1,153.25","1,134.25",6.05K,0.66
"Dec 20, 2001","1,141.00","1,151.00","1,152.25","1,139.00",4.79K,-0.93
"Dec 21, 2001","1,147.30","1,142.75","1,152.00","1,138.75",0.68K,0.55
"Dec 24, 2001","1,147.25","1,148.25","1,149.25","1,142.75",19.35K,0
"Dec 26, 2001","1,153.00","1,145.25","1,161.00","1,143.25",68.15K,0.5
"Dec 27, 2001","1,159.50","1,152.50","1,159.75","1,150.50",73.35K,0.56
"Dec 28, 2001","1,159.25","1,159.00","1,166.25","1,157.75",81.39K,-0.02
"Dec 31, 2001","1,149.20","1,159.25","1,163.00","1,141.25",96.05K,-0.87
"Jan 02, 2002","1,154.00","1,143.75","1,156.25","1,136.50",216.81K,0.42
"Jan 03, 2002","1,166.50","1,154.00","1,168.00","1,150.75",209.64K,1.08
"Jan 04, 2002","1,175.25","1,167.00","1,178.25","1,163.75",217.25K,0.75
"Jan 07, 2002","1,166.75","1,173.25","1,178.50","1,163.75",252.39K,-0.72
"Jan 08, 2002","1,163.25","1,166.50","1,170.25","1,158.00",214.93K,-0.3
"Jan 09, 2002","1,154.50","1,163.00","1,175.75","1,151.50",244.41K,-0.75
"Jan 10, 2002","1,159.00","1,153.75","1,161.50","1,151.00",240.44K,0.39
"Jan 11, 2002","1,147.75","1,159.00","1,163.50","1,145.25",210.45K,-0.97
"Jan 14, 2002","1,140.25","1,147.50","1,148.00","1,137.50",211.63K,-0.65
"Jan 15, 2002","1,149.00","1,140.25","1,150.00","1,136.75",237.66K,0.77
"Jan 16, 2002","1,126.00","1,144.00","1,145.25","1,124.75",287.02K,-2
"Jan 17, 2002","1,134.25","1,126.50","1,140.00","1,126.50",228.63K,0.73
"Jan 18, 2002","1,129.00","1,131.25","1,136.00","1,124.25",207.99K,-0.46
"Jan 22, 2002","1,121.25","1,129.25","1,136.75","1,117.75",232.64K,-0.69
"Jan 23, 2002","1,129.00","1,122.50","1,132.75","1,117.50",225.86K,0.69
"Jan 24, 2002","1,133.25","1,129.25","1,139.75","1,128.75",213.16K,0.38
"Jan 25, 2002","1,133.25","1,132.75","1,139.00","1,127.50",188.07K,0
"Jan 28, 2002","1,135.50","1,132.50","1,139.00","1,126.25",192.22K,0.2
"Jan 29, 2002","1,100.50","1,136.00","1,138.25","1,097.50",317.49K,-3.08
"Jan 30, 2002","1,115.50","1,100.50","1,115.75","1,080.75",351.67K,1.36
"Jan 31, 2002","1,130.40","1,115.50","1,130.00","1,113.00",232.76K,1.34
"Feb 01, 2002","1,123.50","1,128.75","1,132.25","1,118.50",193.62K,-0.61
"Feb 04, 2002","1,095.25","1,123.25","1,124.00","1,091.00",265.89K,-2.51
"Feb 05, 2002","1,089.00","1,095.50","1,101.50","1,082.25",320.62K,-0.57
"Feb 06, 2002","1,083.25","1,089.25","1,094.50","1,077.00",344.68K,-0.53
"Feb 07, 2002","1,077.00","1,086.25","1,095.00","1,076.25",306.29K,-0.58
"Feb 08, 2002","1,096.50","1,076.25","1,096.75","1,075.50",244.39K,1.81
"Feb 11, 2002","1,110.25","1,097.00","1,112.75","1,094.25",226.68K,1.25
"Feb 12, 2002","1,107.50","1,110.50","1,113.25","1,102.50",203.83K,-0.25
"Feb 13, 2002","1,118.75","1,107.25","1,121.50","1,105.25",246.72K,1.02
